ecotype	source	term_id	term_name	p_value	term_size	query_size	intersection_size	precision	recall
Myeloid-dominant	REAC	REAC:R-HSA-927802	Nonsense-Mediated Decay (NMD)	1.9365868955823326e-51	116	161	45	0.2795031055900621	0.3879310344827586
Myeloid-dominant	REAC	REAC:R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	1.9365868955823326e-51	116	161	45	0.2795031055900621	0.3879310344827586
Myeloid-dominant	WP	WP:WP477	Cytoplasmic ribosomal proteins	6.814078735418944e-51	88	161	43	0.2670807453416149	0.48863636363636365
Myeloid-dominant	REAC	REAC:R-HSA-72737	Cap-dependent Translation Initiation	1.255388154927464e-50	120	161	45	0.2795031055900621	0.375
Myeloid-dominant	REAC	REAC:R-HSA-72613	Eukaryotic Translation Initiation	1.255388154927464e-50	120	161	45	0.2795031055900621	0.375
Myeloid-dominant	REAC	REAC:R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane	2.72123862064313e-50	113	161	44	0.2732919254658385	0.3893805309734513
Myeloid-dominant	REAC	REAC:R-HSA-2408522	Selenoamino acid metabolism	1.77726443900494e-49	117	161	44	0.2732919254658385	0.37606837606837606
Myeloid-dominant	GO:BP	GO:0002181	cytoplasmic translation	3.707141190325505e-49	200	161	44	0.2732919254658385	0.22
Myeloid-dominant	REAC	REAC:R-HSA-168273	Influenza Viral RNA Transcription and Replication	1.5237888991999474e-46	133	161	44	0.2732919254658385	0.3308270676691729
Myeloid-dominant	REAC	REAC:R-HSA-9711097	Cellular response to starvation	1.8794947315496972e-44	157	161	45	0.2795031055900621	0.28662420382165604
Myeloid-dominant	REAC	REAC:R-HSA-168255	Influenza Infection	2.637525051713685e-43	154	161	44	0.2732919254658385	0.2857142857142857
Myeloid-dominant	REAC	REAC:R-HSA-9010553	Regulation of expression of SLITs and ROBOs	1.4296455451800984e-42	171	161	45	0.2795031055900621	0.2631578947368421
Myeloid-dominant	GO:CC	GO:0022625	cytosolic large ribosomal subunit	8.842069420855909e-42	54	161	27	0.16770186335403728	0.5
Myeloid-dominant	REAC	REAC:R-HSA-6791226	Major pathway of rRNA processing in the nucleolus and cytosol	9.652144339314809e-40	182	161	44	0.2732919254658385	0.24175824175824176
Myeloid-dominant	KEGG	KEGG:03010	Ribosome	2.985649792659942e-39	190	161	47	0.2919254658385093	0.24736842105263157
Myeloid-dominant	REAC	REAC:R-HSA-8868773	rRNA processing in the nucleus and cytosol	1.2605973406024464e-38	192	161	44	0.2732919254658385	0.22916666666666666
Myeloid-dominant	REAC	REAC:R-HSA-72312	rRNA processing	1.4109908174297583e-37	202	161	44	0.2732919254658385	0.21782178217821782
Myeloid-dominant	REAC	REAC:R-HSA-376176	Signaling by ROBO receptors	1.7181554467819303e-37	217	161	45	0.2795031055900621	0.2073732718894009
Myeloid-dominant	GO:CC	GO:0005840	ribosome	5.011152422263407e-37	520	161	48	0.2981366459627329	0.09230769230769231
Myeloid-dominant	GO:MF	GO:0003735	structural constituent of ribosome	9.11769793745161e-37	448	161	47	0.2919254658385093	0.10491071428571429
Myeloid-dominant	KEGG	KEGG:05171	Coronavirus disease - COVID-19	1.0877401884231206e-36	234	165	49	0.296969696969697	0.2094017094017094
Myeloid-dominant	GO:CC	GO:0015934	large ribosomal subunit	3.857862928225203e-33	112	161	28	0.17391304347826086	0.25
Myeloid-dominant	REAC	REAC:R-HSA-72766	Translation	1.0925960985454513e-32	292	161	46	0.2857142857142857	0.15753424657534246
Myeloid-dominant	GO:BP	GO:0006412	translation	3.0088204831712865e-32	712	161	51	0.3167701863354037	0.07162921348314606
Myeloid-dominant	GO:BP	GO:0160307	protein biosynthetic process	3.0088204831712865e-32	712	161	51	0.3167701863354037	0.07162921348314606
Myeloid-dominant	REAC	REAC:R-HSA-71291	Metabolism of amino acids and derivatives	2.4814487300805097e-28	363	161	46	0.2857142857142857	0.12672176308539945
Myeloid-dominant	GO:CC	GO:0022627	cytosolic small ribosomal subunit	5.0463908091746035e-24	41	158	17	0.10759493670886076	0.4146341463414634
Myeloid-dominant	REAC	REAC:R-HSA-9735869	SARS-CoV-1 modulates host translation machinery	1.0810468021231988e-23	37	122	18	0.14754098360655737	0.4864864864864865
Myeloid-dominant	GO:CC	GO:0098803	respiratory chain complex	2.51293101238013e-22	116	40	15	0.375	0.12931034482758622
Myeloid-dominant	GO:BP	GO:0006119	oxidative phosphorylation	1.1134741635404201e-21	146	40	16	0.4	0.1095890410958904
Myeloid-dominant	GO:BP	GO:0042775	mitochondrial ATP synthesis coupled electron transport	2.951312432543783e-20	98	40	14	0.35	0.14285714285714285
Myeloid-dominant	GO:BP	GO:0042773	ATP synthesis coupled electron transport	2.951312432543783e-20	98	40	14	0.35	0.14285714285714285
Myeloid-dominant	REAC	REAC:R-HSA-422475	Axon guidance	9.32357379101191e-20	543	161	45	0.2795031055900621	0.08287292817679558
Myeloid-dominant	REAC	REAC:R-HSA-8953897	Cellular responses to stimuli	1.4254382506034254e-19	806	115	45	0.391304347826087	0.05583126550868486
Myeloid-dominant	REAC	REAC:R-HSA-9754678	SARS-CoV-2 modulates host translation machinery	1.4568723535080054e-19	51	168	19	0.1130952380952381	0.37254901960784315
Myeloid-dominant	GO:MF	GO:0005198	structural molecule activity	2.6314354209963217e-19	1106	161	47	0.2919254658385093	0.042495479204339964
Myeloid-dominant	GO:BP	GO:0022904	respiratory electron transport chain	2.77580777538878e-19	114	40	14	0.35	0.12280701754385964
Myeloid-dominant	GO:CC	GO:0015935	small ribosomal subunit	3.8898533945062683e-19	74	122	16	0.13114754098360656	0.21621621621621623
Myeloid-dominant	REAC	REAC:R-HSA-9675108	Nervous system development	5.869758014519334e-19	568	161	45	0.2795031055900621	0.07922535211267606
Myeloid-dominant	REAC	REAC:R-HSA-2262752	Cellular responses to stress	6.035639563117418e-19	792	115	44	0.3826086956521739	0.05555555555555555
Myeloid-dominant	GO:MF	GO:0015453	oxidoreduction-driven active transmembrane transporter activity	1.0576435034228636e-18	65	40	12	0.3	0.18461538461538463
Myeloid-dominant	GO:BP	GO:0022900	electron transport chain	1.0738129570545969e-18	125	40	14	0.35	0.112
Myeloid-dominant	REAC	REAC:R-HSA-72695	Formation of the ternary complex, and subsequently, the 43S complex	1.2199903054977523e-18	52	122	17	0.13934426229508196	0.3269230769230769
Myeloid-dominant	GO:BP	GO:0019646	aerobic electron transport chain	1.572169818346875e-18	92	40	13	0.325	0.14130434782608695
Myeloid-dominant	GO:MF	GO:0015078	proton transmembrane transporter activity	5.1404986893793605e-18	186	14	11	0.7857142857142857	0.05913978494623656
Myeloid-dominant	GO:BP	GO:1902600	proton transmembrane transport	1.3186543117856173e-17	189	14	11	0.7857142857142857	0.0582010582010582
Myeloid-dominant	GO:MF	GO:0009055	electron transfer activity	1.320885490725038e-17	113	40	13	0.325	0.11504424778761062
Myeloid-dominant	REAC	REAC:R-HSA-72649	Translation initiation complex formation	1.448080959187086e-17	59	122	17	0.13934426229508196	0.288135593220339
Myeloid-dominant	REAC	REAC:R-HSA-72702	Ribosomal scanning and start codon recognition	1.448080959187086e-17	59	122	17	0.13934426229508196	0.288135593220339
Myeloid-dominant	REAC	REAC:R-HSA-8953854	Metabolism of RNA	1.6274021405441865e-17	710	161	48	0.2981366459627329	0.0676056338028169
Myeloid-dominant	REAC	REAC:R-HSA-72662	Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	2.0023829886501966e-17	60	122	17	0.13934426229508196	0.2833333333333333
Myeloid-dominant	WP	WP:WP111	Electron transport chain OXPHOS system in mitochondria	2.0264902709672625e-17	104	14	11	0.7857142857142857	0.10576923076923077
Myeloid-dominant	GO:BP	GO:0009060	aerobic respiration	9.611284487716721e-17	292	40	16	0.4	0.0547945205479452
Myeloid-dominant	REAC	REAC:R-HSA-9692914	SARS-CoV-1-host interactions	1.5619295369164174e-16	95	122	19	0.1557377049180328	0.2
Myeloid-dominant	KEGG	KEGG:00190	Oxidative phosphorylation	2.8618841480660287e-16	136	14	11	0.7857142857142857	0.08088235294117647
Myeloid-dominant	GO:BP	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	5.012544566976358e-16	67	40	11	0.275	0.16417910447761194
Myeloid-dominant	GO:BP	GO:0045333	cellular respiration	7.5534503029552785e-16	332	40	16	0.4	0.04819277108433735
Myeloid-dominant	GO:BP	GO:0015986	proton motive force-driven ATP synthesis	8.274050642056398e-16	78	52	12	0.23076923076923078	0.15384615384615385
Myeloid-dominant	GO:MF	GO:0022853	active monoatomic ion transmembrane transporter activity	1.8824558812968587e-15	117	40	12	0.3	0.10256410256410256
Myeloid-dominant	KEGG	KEGG:05012	Parkinson disease	4.25490057879361e-15	267	14	12	0.8571428571428571	0.0449438202247191
Myeloid-dominant	REAC	REAC:R-HSA-9824446	Viral Infection Pathways	6.422365618785091e-15	873	170	51	0.3	0.058419243986254296
Myeloid-dominant	GO:BP	GO:0015980	energy derivation by oxidation of organic compounds	1.2232538215596388e-14	425	45	17	0.37777777777777777	0.04
Myeloid-dominant	GO:BP	GO:0006754	ATP biosynthetic process	2.1804992382704123e-14	101	52	12	0.23076923076923078	0.1188118811881188
Myeloid-dominant	KEGG	KEGG:05415	Diabetic cardiomyopathy	2.7883920935708282e-14	204	14	11	0.7857142857142857	0.05392156862745098
Myeloid-dominant	GO:CC	GO:0005740	mitochondrial envelope	7.470150437452463e-14	845	61	22	0.36065573770491804	0.02603550295857988
Myeloid-dominant	GO:BP	GO:0009206	purine ribonucleoside triphosphate biosynthetic process	7.923725954747313e-14	112	52	12	0.23076923076923078	0.10714285714285714
Myeloid-dominant	GO:CC	GO:1902495	transmembrane transporter complex	8.101839830202079e-14	507	14	11	0.7857142857142857	0.021696252465483234
Myeloid-dominant	KEGG	KEGG:05208	Chemical carcinogenesis - reactive oxygen species	8.351904906800358e-14	225	14	11	0.7857142857142857	0.04888888888888889
Myeloid-dominant	GO:CC	GO:0005743	mitochondrial inner membrane	8.836488637024673e-14	511	14	11	0.7857142857142857	0.021526418786692758
Myeloid-dominant	GO:BP	GO:0009145	purine nucleoside triphosphate biosynthetic process	8.849489204552785e-14	113	52	12	0.23076923076923078	0.10619469026548672
Myeloid-dominant	GO:BP	GO:0006091	generation of precursor metabolites and energy	1.0392556982090709e-13	483	45	17	0.37777777777777777	0.035196687370600416
Myeloid-dominant	GO:CC	GO:0031966	mitochondrial membrane	1.0630686253359376e-13	796	14	12	0.8571428571428571	0.01507537688442211
Myeloid-dominant	REAC	REAC:R-HSA-1428517	Aerobic respiration and respiratory electron transport	1.130860609102457e-13	253	14	11	0.7857142857142857	0.043478260869565216
Myeloid-dominant	REAC	REAC:R-HSA-1430728	Metabolism	1.1723777640008938e-13	2143	58	40	0.6896551724137931	0.018665422305179653
Myeloid-dominant	GO:CC	GO:1990351	transporter complex	1.2682715235649239e-13	528	14	11	0.7857142857142857	0.020833333333333332
Myeloid-dominant	GO:MF	GO:0015399	primary active transmembrane transporter activity	1.2839742968823645e-13	166	14	9	0.6428571428571429	0.05421686746987952
Myeloid-dominant	KEGG	KEGG:04714	Thermogenesis	1.2944963412925015e-13	234	14	11	0.7857142857142857	0.04700854700854701
Myeloid-dominant	GO:BP	GO:0009201	ribonucleoside triphosphate biosynthetic process	1.5143940773597377e-13	118	52	12	0.23076923076923078	0.1016949152542373
Myeloid-dominant	GO:CC	GO:0019866	organelle inner membrane	2.7302421671767665e-13	566	14	11	0.7857142857142857	0.019434628975265017
Myeloid-dominant	REAC	REAC:R-HSA-9678108	SARS-CoV-1 Infection	3.168115123814506e-13	140	122	19	0.1557377049180328	0.1357142857142857
Myeloid-dominant	GO:BP	GO:0009142	nucleoside triphosphate biosynthetic process	3.7562751325758643e-13	127	52	12	0.23076923076923078	0.09448818897637795
Myeloid-dominant	KEGG	KEGG:05020	Prion disease	7.510701353983351e-13	274	14	11	0.7857142857142857	0.040145985401459854
Myeloid-dominant	REAC	REAC:R-HSA-5663205	Infectious disease	1.0886445873563857e-12	1062	170	53	0.31176470588235294	0.04990583804143126
Myeloid-dominant	KEGG	KEGG:05016	Huntington disease	2.6539130854192047e-12	307	14	11	0.7857142857142857	0.035830618892508145
Myeloid-dominant	GO:CC	GO:1990204	oxidoreductase complex	3.2052837320309467e-12	120	40	10	0.25	0.08333333333333333
Myeloid-dominant	KEGG	KEGG:05022	Pathways of neurodegeneration - multiple diseases	4.799707352764014e-12	477	14	12	0.8571428571428571	0.025157232704402517
Myeloid-dominant	GO:MF	GO:0008137	NADH dehydrogenase (ubiquinone) activity	4.943562027458526e-12	41	40	8	0.2	0.1951219512195122
Myeloid-dominant	GO:BP	GO:0009152	purine ribonucleotide biosynthetic process	5.445122517067832e-12	158	52	12	0.23076923076923078	0.0759493670886076
Myeloid-dominant	GO:CC	GO:0005925	focal adhesion	5.506801899359752e-12	425	95	19	0.2	0.04470588235294118
Myeloid-dominant	GO:MF	GO:0008324	monoatomic cation transmembrane transporter activity	6.284786405837939e-12	656	14	11	0.7857142857142857	0.01676829268292683
Myeloid-dominant	GO:CC	GO:0045271	respiratory chain complex I	6.690867388082381e-12	49	40	8	0.2	0.16326530612244897
