Kids_First_Biospecimen_ID,PC1,PC2,ecotype
BS_3ZPJAK9A,1.39709547007848,0.151813574521601,Intermediate
BS_45J79YTF,7.04679589894891,-1.48843866930658,Immune-desert
BS_49BQS7Z6,2.00344244753878,1.17417375420736,Intermediate
BS_49CJNZ06,3.12525447559096,-0.500734216229764,Immune-desert
BS_4B0BAVTX,-0.607313965270437,2.09710260310495,Intermediate
BS_4BM3F6XJ,-0.336979144651454,0.391376240809922,Intermediate
BS_4C6B11E4,-2.73741950737973,3.16577513301742,Inflamed
BS_4GNN7J8E,-8.25604167199131,-3.10726555922344,Inflamed
BS_4KNBXM3C,-4.09081893545023,1.90285774559523,Inflamed
BS_4Q3KRCZT,-5.63716043455992,-3.31966660359841,Inflamed
BS_4QW2S1Q8,-2.947109641746,2.37372744312728,Inflamed
BS_4T0HQ9QF,1.40856120864912,1.38033421962366,Intermediate
BS_4V42BXBT,0.838954517156681,0.0618139709568166,Intermediate
BS_51RA1PGE,0.222689470532451,2.19815407176724,Intermediate
BS_52C576HH,1.87403567677694,1.52884133167285,Intermediate
BS_5965SFPZ,3.72336470016605,1.29474548444107,Immune-desert
BS_5EFYPZT0,1.64270382952248,0.20375464303649,Intermediate
BS_5G5BD2MD,-5.95634884715127,2.00931346197712,Inflamed
BS_5K95FX4C,-5.97619929178166,0.475816650215991,Inflamed
BS_5KBXD2GQ,0.277839791890601,1.42618122369592,Intermediate
BS_5PXZ8F7W,-0.419473588169374,0.284031251571563,Intermediate
BS_5VPM0F36,-7.19530311193283,2.99714589590465,Inflamed
BS_62SW4CC5,-9.27462127281385,-0.390808386398684,Inflamed
BS_65WPD3DA,0.318956834875705,-5.10772552960898,Intermediate
BS_68KX6A42,-3.5664516633964,1.39344524372712,Inflamed
BS_6DCSD5Y6,5.65798033169206,0.82277695315686,Immune-desert
BS_6H4Q24WA,-5.31267549726692,-1.38788999493563,Inflamed
BS_6M2053M0,-0.638154776821081,1.05562170514555,Intermediate
BS_6SY64H5J,-6.73495000470408,-0.834055505925338,Inflamed
