ecotype	source	term_id	term_name	p_value	term_size	query_size	intersection_size	precision	recall
Lymphocyte-inflamed	GO:BP	GO:0050870	positive regulation of T cell activation	1.5659094516404722e-12	255	143	20	0.13986013986013987	0.0784313725490196
Lymphocyte-inflamed	GO:BP	GO:1903555	regulation of tumor necrosis factor superfamily cytokine production	1.593499454625084e-12	170	159	18	0.11320754716981132	0.10588235294117647
Lymphocyte-inflamed	GO:BP	GO:0071706	tumor necrosis factor superfamily cytokine production	1.593499454625084e-12	170	159	18	0.11320754716981132	0.10588235294117647
Lymphocyte-inflamed	WP	WP:WP2328	Allograft rejection	2.16045290068828e-12	88	59	13	0.22033898305084745	0.14772727272727273
Lymphocyte-inflamed	GO:BP	GO:0032501	multicellular organismal process	2.4799366148328865e-12	7337	167	109	0.6526946107784432	0.01485620825950661
Lymphocyte-inflamed	GO:BP	GO:0002687	positive regulation of leukocyte migration	3.132790393361236e-12	151	186	18	0.0967741935483871	0.11920529801324503
Lymphocyte-inflamed	GO:BP	GO:0001906	cell killing	4.154605077549942e-12	217	176	20	0.11363636363636363	0.09216589861751152
Lymphocyte-inflamed	GO:BP	GO:0002503	peptide antigen assembly with MHC class II protein complex	4.4998975826640906e-12	13	131	8	0.061068702290076333	0.6153846153846154
Lymphocyte-inflamed	GO:BP	GO:0002399	MHC class II protein complex assembly	4.4998975826640906e-12	13	131	8	0.061068702290076333	0.6153846153846154
Lymphocyte-inflamed	GO:BP	GO:0097530	granulocyte migration	6.042868648829373e-12	148	167	17	0.10179640718562874	0.11486486486486487
Lymphocyte-inflamed	GO:CC	GO:0030667	secretory granule membrane	6.072578560548844e-12	321	141	20	0.14184397163120568	0.06230529595015576
Lymphocyte-inflamed	GO:BP	GO:2000026	regulation of multicellular organismal development	6.706633461807853e-12	1392	193	47	0.24352331606217617	0.033764367816091954
Lymphocyte-inflamed	GO:MF	GO:0140375	immune receptor activity	8.335909772781988e-12	153	170	17	0.1	0.1111111111111111
Lymphocyte-inflamed	GO:BP	GO:0048522	positive regulation of cellular process	8.462821983656504e-12	5739	190	103	0.5421052631578948	0.01794737759191497
Lymphocyte-inflamed	GO:MF	GO:0023026	MHC class II protein complex binding	1.1373952630622707e-11	24	131	9	0.06870229007633588	0.375
Lymphocyte-inflamed	KEGG	KEGG:05140	Leishmaniasis	1.3473526000239782e-11	73	131	15	0.11450381679389313	0.2054794520547945
Lymphocyte-inflamed	GO:BP	GO:0002455	humoral immune response mediated by circulating immunoglobulin	1.4537334686830913e-11	51	172	12	0.06976744186046512	0.23529411764705882
Lymphocyte-inflamed	GO:BP	GO:0032680	regulation of tumor necrosis factor production	1.5237105869589115e-11	165	186	18	0.0967741935483871	0.10909090909090909
Lymphocyte-inflamed	GO:BP	GO:0032640	tumor necrosis factor production	1.5237105869589115e-11	165	186	18	0.0967741935483871	0.10909090909090909
