Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
BS_57NMZPS0	0	0.0189268871196015	0	0.413068894848332	0	0.406113742204051	0	0.181129636149804	0.0541227722253467	0	0	0.661738977575215	0.096670776369527	1.71525687411141	0.0626824527446638	1.58300036305467	0	0	0	1.50384498479286	0.00776225684674995	0	0.43	0.032652040979561	1.12128566464969	6.70431861804223
BS_593HEWBF	0	0.039111068014486	0.0206395606691854	0.0715133552497732	0	0.386661815231193	0	0.0919577245797024	0	0	0	0.17317956132236	0.308565133196929	0	0	1.24244655084954	0	0.0188846963515588	0	1.47343910664337	0.0520373976618329	0.183944068617793	0.03	0.169677957245102	1.0596238675664	4.06238003838772
BS_5J5D3QTD	0	0.116075469456807	0.0330957169379092	0.246305058222144	0	1.57026398233882	0	0.0976885265170779	0.0452488988318282	0	0.565207542151272	0.021878297674608	0.436765035894631	0	0.063029418370905	5.1596030172406	0.00525002907462601	0.0195609077290746	0.373742868343538	0	0	0.0782238108706698	0.03	0.184259825204652	1.02463184387154	8.83193857965451
BS_5K3R0F5D	0.101178787542861	0.169537166131606	0.0529995322519977	0.212738731653115	0	0.189975119829597	0	0.254248110261388	0	0	0	0.203670629220858	0.293596003147945	0	0	0.559669225667097	0	0.0150509033292568	0	1.07657118316885	0.160854457242311	0.0116375977700063	0.13	0.100626161670733	1.07596314469833	3.30172744721689
BS_5NWDARXG	0.340028568725781	0	0.188838603437173	0.320432643933794	0	0.504668327079052	0	0.00503728322926855	0	0	0	0.0126826973428077	0.327382090816667	0	0.0513906791276329	1.5270779890129	0	0	0.000500244057963122	0	0	0.0119608732369625	0.01	0.286346699801394	0.970656204852837	3.29
BS_5PEFNDCY	0	0.127712689611431	0	0.127064998099024	0	0.265238312597572	0	0.00167896323180662	0	0	0.103128562340608	0.0273729965613664	0.144938476358431	0	0	1.5716362556139	0	0.00427118128176412	0.0189767855805406	0	0	0.0529903756525376	0.19	0.0719097524564336	1.08751532939645	2.44500959692898
BS_5PV5N4HQ	0.01835814097789	0.0389723012215436	0.00535242764163041	0.181195847701938	0	0.755872184921906	0	0.0882146408381127	0	0	0.0176413521799491	0.369974946011344	0.217589828093582	0	0.000307163807216047	1.31079543454937	0	0	0	0.345890549169481	0	0.0546720350933303	0.2	0.0647273429657572	1.07236685454636	3.40483685220729
BS_5YJEPPTP	0.00132187703196293	0.0587780418626234	0.0279235505360364	0.28113876403689	0	0.675395787123319	0	0.0695439605736181	0.01659722842816	0	0	0.330383814253492	0.235344098968971	0	0	0.976156542701199	0	0	0	0.214340245086235	0.0031151749769992	0.0940684000251006	0.2	0.0650217739469402	1.06921604511161	2.98410748560461
BS_5YYCP891	0.0310127112474407	0.100704049446226	0.00597245265355348	2.86447585223497	0	1.23444469302908	0	0	0	0.181070821228038	0	1.29770186094059	0.817166026268961	0	0.389269737476485	10.322334336419	0	0	0	1.25080207939125	0.0783834901628458	0.184492983551491	0.23	0.0623302392654919	1.08365304264811	18.7578310940499
BS_66ABA973	0.00806766781504405	0.00980903643465784	0	0.0918526372783791	0	0.926173277287114	0	0.0873203184629614	0	0	0.126710720872625	0.228039071648079	0.238582719237088	0	0	1.29566027720321	0	0.0128969182545504	0	0.105140754565745	0.00639800473161888	0.0387612641551852	0.39	0.0376155411767201	1.08264994204773	3.17541266794626
BS_66HQ3E4Z	0	0.0909197985176333	0.00173786699818683	0.40796523537065	0	0.64411267828474	0	0.092211268092291	0.00996303503541218	0	0.349150808668642	0	0.1921849358261	0	0	1.14870874620633	0	0.0235015257656642	0.0655726375648626	0	0	0.0547967995620062	0.45	0.021167714317244	1.08567617747702	3.08082533589251
BS_680K119G	0	0.107932063059386	0	0.069723533403181	0	0.116844871122012	0	0.0469126832214272	0	0	0	0.0859481401586742	0.521940013014688	0	0	1.38556393624831	0	0.00390581197404882	0	0.3892135927119	0	0	0.17	0.0821152850719336	1.08128134037084	2.72798464491363
