sample,MCP_NK,QTS_NK,EPIC_NK,xCell_NK,NK_ssGSEA
BS_75YRDXET,0.252955201995513,0.0187775641157173,0.00245049394786086,4.56302816397498e-19,0.546847052180173
BS_769BDPDB,0.122380470012596,0.0125564710979857,3.90317113311976e-09,0,0.465309981258792
BS_76DRXZRJ,0.0562139286598472,0.0503690762299488,4.84331356253551e-09,0,0.364044002357613
BS_775HDFNY,0.0305697882929364,0.0124056438363582,8.50179056529263e-10,0,0.251456670746741
BS_77SBTNPN,0.0484886733923428,0.072411756271018,7.29671009868393e-11,7.17460334754228e-18,0.297274974978636
BS_7AEF4D4G,0.0827454293470365,0.0195091769614538,6.53273109548039e-09,0,0.418867028537684
BS_7APCGCVF,0.00179441162213376,0.00870805088744917,2.69632475338133e-09,0,0.39907149690699
BS_7GJT4A6A,0.0177867180882589,0.0191184942313412,4.63287837233069e-10,0,0.207174347218495
BS_7GKWKGPH,0.00533054217606172,0.0153911243699824,1.80239104595609e-08,1.1024590609171e-17,0.294268417145916
BS_7H4RFCW9,0.0556307228361057,0.006572920656407,8.95535596442463e-09,3.55499184995697e-18,0.390244926272269
BS_7M3FNSYK,0.0228778431095804,0.0616478479635134,1.69244742827717e-09,0,0.369305371603825
BS_7MGXMG6S,0.79387495123713,0.145089320763985,2.39308427008032e-10,1.75985607362028e-18,0.484619257648913
BS_7N0B2CY1,0.0369422909915219,0.0382140562748759,1.93883259157716e-10,4.82180248899218e-18,0.163612579111341
BS_7P83Z28P,0.030088482871012,0.0193347737161947,1.13535001500893e-08,0,0.249967966025264
BS_7PVJ6Q3D,0.00357114402459637,0.0279114694822562,1.37359968579337e-08,5.59192323866022e-18,0.233644744772454
BS_7WKNNRHK,0.00357114402459637,0.0177713506546234,2.51619899191695e-08,1.249395043502e-17,0.273360632117512
BS_7Z93ZYMS,0.049917874404095,0.0174188132149085,5.86180417297875e-10,0,0.291693378302471
BS_84VZX732,0.112879783764114,0.0198372653352011,1.51517522486238e-08,3.54747430447346e-17,0.409089719274492
BS_84XCR9GG,0.00538323486640127,0.0117374806915654,1.50095008412252e-08,5.82959467514075e-18,0.179902447965561
BS_880ESDFZ,0.0330265157433629,0.0409788176768167,1.57043241728173e-09,0,0.294329126443627
BS_8BF616QR,0.202244021737117,0.0136360884713522,1.98442603538818e-10,5.68577347328243e-18,0.449037903443351
BS_8E8JKP01,0.0220403465800579,0.0245447173565953,2.35603623977754e-10,4.66276130465658e-18,0.185170803772506
BS_8ERBDF7D,0.240221212729668,0.0243714634271812,0.00178864830870484,0,0.304557454271808
BS_8J3B6ZB6,0.0241855152186528,0.0156835075049438,3.50685269621925e-09,6.08844803709509e-18,0.310085025853792
BS_8JK9TXH2,0.130415613101425,0.0281643663130329,4.20793701946574e-09,2.38123387142135e-18,0.362388324210893
BS_8QJ43WKW,0.116507646417928,0.0146837167252471,7.27571566582275e-09,9.64675558809757e-18,0.395307926559266
BS_8RCR7Y4B,0.0284301232207112,0.0123520772780935,7.30667579787747e-10,9.84449726513755e-19,0.238160081780029
BS_8VAZSJEN,0.0159236197846202,0.0138484618593061,1.09458837721592e-08,0,0.298230504219893
BS_8VD670NP,0.0681884160860831,0.025378566279596,2.19317149084074e-10,0,0.379397416565256
BS_8YWYN7VH,0.106249907433262,0.0457626651907569,2.13386213613915e-08,0,0.383575798464399
BS_8ZE4Z9G5,0.0311334393581518,0.0428698971402354,1.2114344547413e-10,1.46346107331918e-17,0.30006024134725
BS_8ZY4GST0,0.165903433470161,0.0565623527852594,4.7622001535697e-07,0,0.177956103353199
BS_91VYM11A,0.176448821063295,0.0107580635496947,7.79609142514246e-09,0,0.31903990317499
BS_92HCM7BN,0.0285600122912397,0.0319153185560024,1.46066661781907e-08,1.28175700511706e-17,0.354143484726302
BS_94MT16N2,0.0622157230245517,0.0376749335169209,7.8526482597882e-10,1.59536761401576e-17,0.215376872922097
BS_956G6QPJ,0.0442538599398106,0.0400218452790848,5.83844741007445e-09,2.70915142394802e-18,0.398395477696373
BS_97M1E2DW,0.0465757578398375,0.0215770116555204,1.76355517720868e-07,0,0.214175126638562
BS_9A1YTHFF,0.119559720153014,0.0911168107963904,1.79583900484922e-10,3.57599465510571e-19,0.362920348346091
BS_9B0A62MT,0.123757206224314,0.0378545957651457,1.01235106538726e-09,2.76820619631918e-17,0.317884056458275
BS_9BJARSX3,0.0158735887452894,0.0184609300083909,1.11716590675419e-09,0,0.292461400950319
BS_9CA93S6D,0.00179441162213376,0.0179881189926708,2.66777942312044e-10,0,0.104866809897362
BS_9F09XV62,0.0515645178222842,0.0274843046953898,4.74649324491296e-11,1.50067511517158e-17,0.200995137690158
BS_9FHEFJNP,0.0923513828712895,0.0613931216825426,3.91985325932015e-09,2.54162485262684e-17,0.292047443635328
BS_9FX3YREK,0.0519842559513761,0.0335982929546473,1.34038166272706e-10,0,0.131627002867651
BS_9GJ3DB1H,0.264921757836865,0.0702557298537881,2.88318017585077e-07,0,0.403017723620515
BS_9HSGV9TJ,0.198959174890566,0.0103392022047294,0.00260190413555482,4.96838376661707e-18,0.526482692131778
BS_9JBX2E8G,0.0141642216331549,0.0279071026156863,1.30039997711667e-10,0,0.262154477889863
BS_9JPQZQNG,0.0346525706303486,0.00564863859462485,9.83120464992792e-08,4.18332726311008e-18,0.304925079697744
BS_9P9MB8X8,0.045457011430332,0.0172585634736314,5.09101968891798e-10,0,0.325137905145987
BS_9Q6Z6VJC,0.0141978948439914,0.0239295280558579,4.61844858549448e-10,0,0.264251099956224
BS_9S7AG4EN,0.0296201939984309,0.0403847570588086,5.24286602451731e-09,0,0.318799886882154
BS_9SJWWYQ4,0.0420662945144442,0.0178278999929317,1.07590367837882e-09,8.60818049523414e-19,0.206770949062796
BS_9TXEDSWB,0.0332495939382638,0.0116348803687791,1.36387478297344e-08,1.39923458175936e-17,0.265627260718113
BS_9XVACXP0,0.00893669967132649,0.0103441013011154,1.58234865214213e-09,0,0.15644964821166
BS_9Y1K14Q5,0.00879866598642475,0.0235527877140006,1.27181272781491e-09,5.49494951857327e-19,0.285073109200922
BS_9YXH2CZ0,0.048061493051823,0.0394735041166058,4.09347638663585e-09,0,0.339749937813819
BS_9ZJT0CP0,0.0351504102602722,0.0176180400115702,7.84283118964327e-10,0,0.308650764156387
BS_A13BMEF5,0.0195634504907215,0.0181613505826375,2.92861793476924e-10,2.208723592317e-18,0.235538565852841
BS_A1VEGWTR,0.0142329083146598,0.0196892487168716,2.48902191631749e-10,1.05542779650676e-17,0.203968261064733
BS_A46RDWGM,0.0178217315589273,0.0234801869352875,3.89647276132179e-10,0,0.152489448137489
BS_A4PF49V0,0.0485581371603942,0.0317946159249745,1.6857446272258e-09,1.37471406889309e-17,0.293375609932826
BS_A6NXR7RC,0.0516782197981599,0.0258979627285381,2.87858748870585e-08,4.44414282366228e-18,0.230405172588841
BS_A76PNWQS,0.0220403465800579,0.000940662974966807,1.40170247176444e-07,0,0.225660029051864
BS_A7Q8G0Y1,0.0542300052114772,0.0158094468150231,3.3689647212245e-09,0,0.29451542373343
BS_A8XW5S0W,0.21947515662701,0.0891458204580859,3.68001288306651e-08,9.01995574306099e-19,0.385932094311135
BS_A96FKXN5,0.0702814571799735,0.0232390329264004,1.17426252086884e-09,2.29730837852302e-17,0.366513666173704
BS_AGVWD5K8,0.0431035621246801,0.0342960654318441,1.20230605120907e-08,0,0.336974469091913
BS_AM0BZ61K,0.0188199595719227,0.0326058921923833,3.64686089617962e-09,0,0.338948006849324
BS_AP0SZ364,0.0650307778383784,0.0200524579525516,2.22353278610984e-10,0,0.322056376442565
BS_ATHSTZ5R,0.0547417775122391,0.0560311550135502,5.38516784741919e-10,2.23950216632107e-18,0.358282329479904
BS_AW7J9F9R,0,0.0304421441336065,3.3936449415968e-09,0,0.342374383805577
BS_AWH9757B,0.00895437889099764,0.0267629382718843,1.37294721804057e-10,0,0.19497678418695
BS_AYSXRQWY,0.0727708094698448,0.0213472578766604,3.7620111947335e-08,0,0.403398689435126
BS_AZQM1JJH,0.263339810673048,0.0829179959919767,8.51034546067678e-09,0,0.356714087699787
BS_B0SVFK4P,0.149113981739179,0.022256187136263,3.35570822167128e-09,0,0.348729307217591
BS_B1C6GZ84,0.019462411989557,0.0156693405321788,3.46015694925016e-10,2.29701375385979e-17,0.209199346779437
BS_B3M5SGPA,0.00891936542032923,0.0348583614977006,7.69455828484372e-11,0,0.243623548964356
BS_B3MQFFYP,0.00707294104579594,0.0123026154127308,1.67230038961739e-06,7.92106061634794e-18,0.405984764094401
BS_B4R7X1KE,0.0453553126072756,0.0281188562876934,1.68413896539516e-09,0,0.171899112859248
BS_B57327NA,0.0716485450295173,0.0167335439179301,6.10512791389137e-09,0,0.266944183042263
BS_B5JM6T8K,0.0514602775039261,0.0359541037934406,5.51959048099505e-09,2.1536723633188e-17,0.338573236707237
BS_B6JKQFKA,0.0212021492082824,0.030062146836419,1.71733292927269e-09,1.29956747243327e-17,0.355499789386623
