ecotype	gene	log2FC	q_BH
Immune-desert	SNORA5C	1.6540593966720687	0.00011832252175034746
Immune-desert	SNORA11G	1.6535434684099475	2.11158701434899e-05
Immune-desert	SCARNA21	1.6453456803197577	0.00016821638122280102
Immune-desert	SNORA70I	1.6421014988908345	6.536943441115735e-07
Immune-desert	SNORA12	1.6386297590619643	0.0017559681707712685
Immune-desert	USP32P3	1.6299421505145626	0.0
Immune-desert	RNU6-37P	1.6298477496095272	0.0018811284700813676
Immune-desert	H3C15	1.6280815277381753	0.0008465836037191716
Immune-desert	RN7SL3	1.6240545886487228	5.0398277131309574e-05
Immune-desert	DLX1	1.6207470015380225	1.6512150449977733e-05
Immune-desert	SMG1P4	1.6146280699779136	1.7911279639403493e-11
Immune-desert	SNORA40	1.606110757863023	0.0003255929487899549
Immune-desert	RN7SL767P	1.5982635681099586	2.6429108471314737e-06
Immune-desert	ENSG00000242588	1.5968255837838377	0.0
Immune-desert	RMST	1.5866714241830246	6.140965894091702e-08
Immune-desert	RNA5S12	1.5866114800368545	0.00013597623866090758
Immune-desert	RNA5S5	1.5866114800368545	0.00013597623866090758
Immune-desert	RNA5S14	1.5866114800368545	0.00013597623866090758
Immune-desert	RNA5S4	1.5866114800368545	0.00013597623866090758
Immune-desert	RNA5S2	1.5866114800368545	0.00013597623866090758
Immune-desert	RNA5S6	1.5866114800368545	0.00013597623866090758
Immune-desert	RNA5S10	1.5866114800368545	0.00013597623866090758
Immune-desert	RNA5S13	1.5866114800368545	0.00013597623866090758
Immune-desert	RNA5S7	1.5866114800368545	0.00013597623866090758
Immune-desert	RNA5S1	1.5866114800368545	0.00013597623866090758
Immune-desert	RNA5S15	1.5866114800368545	0.00013597623866090758
Immune-desert	RNA5S8	1.5866114800368545	0.00013597623866090758
Immune-desert	RNA5S3	1.5866114800368545	0.00013597623866090758
Immune-desert	RNA5S17	1.5866114800368545	0.00013597623866090758
Immune-desert	RNA5S16	1.5866114800368545	0.00013597623866090758
Immune-desert	RNA5S11	1.5866114800368545	0.00013597623866090758
Immune-desert	GUSBP9	1.5865867057917615	2.2098039766348556e-10
Immune-desert	ENSG00000268362	1.5823199425025911	7.994279660775861e-14
Immune-desert	SNORA38	1.579695999042495	0.0006748928303570162
Immune-desert	RNVU1-31	1.5724076388672483	1.095551835464114e-07
Immune-desert	PKD1P4	1.561100633587722	3.350449388190624e-12
Immune-desert	RN7SL573P	1.5443454012688773	3.047477402752165e-06
Immune-desert	SNORD116-6	1.5435425000836163	0.0037260779095640464
Immune-desert	NPIPB5	1.54088738636246	5.49196123051533e-12
Immune-desert	MUC20-OT1	1.5385342620733837	2.101800803613532e-11
Immune-desert	SNORD116-9	1.5384718504741248	0.03565859530466497
Immune-desert	SNORD116-3	1.5384718504741248	0.03565859530466497
Immune-desert	SNORD21	1.5293020119625336	0.03699110905881944
Immune-desert	RN7SKP80	1.528434663834264	3.970108792661775e-11
Immune-desert	SNORA2A	1.5262109580367125	0.0020947912515982673
Immune-desert	GUSBP14	1.525885320405107	1.1333087987408073e-10
Immune-desert	SNORA18	1.5258426868447645	0.001386478325810889
Immune-desert	MIR181A1HG	1.513161029166464	2.499032320111511e-13
Immune-desert	VTRNA1-1	1.508419005551568	0.0008748966339606627
Immune-desert	NPIPB4	1.5081612800326347	2.2807582380978158e-11
Immune-desert	SNORD116-7	1.504522571119669	0.034485292613076556
Immune-desert	SNORD116-5	1.504522571119669	0.034485292613076556
Immune-desert	PKD1P6	1.5018322861233018	2.1432432964565626e-13
Immune-desert	SNORD17	1.500615970647961	0.018901557101431352
Immune-desert	ENSG00000237094	1.4944229868880687	1.6294901684196245e-10
Immune-desert	SNORA78	1.4864465023974325	0.0006164253519580083
Immune-desert	SNORA64	1.480286851705415	0.009611472661717385
Immune-desert	RNU6-8	1.469910117903758	0.0015865731798022722
Immune-desert	SNORA11D	1.466131575415432	0.002000971297339266
Immune-desert	SNORA63C	1.4421746749348747	0.0006598729049810015
Immune-desert	SNORD16	1.4384755175021398	0.001470806543968644
Immune-desert	RN7SL752P	1.4353883143810937	1.4155363580251691e-05
Immune-desert	RNVU1-8	1.4315900504848722	2.0501189046872766e-06
Immune-desert	SNORA5A	1.4267564123372485	0.0003744925317457982
Immune-desert	PARGP1	1.4245336074665982	0.0
Immune-desert	U3	1.4237297250324181	1.4264369252497897e-08
Immune-desert	H2BC7	1.4228232795725613	2.6977056272428865e-05
Immune-desert	H3C2	1.4223580452454776	0.005392193513184425
Immune-desert	SNHG25	1.4198573488735766	0.0009688770402975438
Immune-desert	SNORA71C	1.4047591317665158	0.0016005922044357928
Immune-desert	SNORD3C	1.3985949403072744	1.8093608789871733e-07
Immune-desert	ENSG00000289044	1.3979082465761308	1.3450800756896918e-13
Immune-desert	RGPD6	1.3959745443623814	2.8374669460240355e-14
Immune-desert	RN7SL381P	1.39596062982869	1.4121480379699316e-11
Immune-desert	RNVU1-27	1.392851962634776	6.852397311999866e-06
Immune-desert	ENSG00000273570	1.391144899530114	1.4395506701794804e-05
Immune-desert	MIAT	1.3884706372466094	4.498785145441483e-09
Immune-desert	ENSG00000289293	1.3882541023351975	1.2858422221863028e-10
Immune-desert	RNVU1-15	1.3846338819347552	9.587617781332523e-07
Immune-desert	LINC00342	1.3831738725736793	3.901046144629879e-10
Immune-desert	SNORA44	1.3827220652419316	0.004193024652450378
Immune-desert	H2AC20	1.382141476216951	0.0028414403579355937
Immune-desert	SNORA65	1.3763449217589732	0.0013504403149744225
Lymphocyte-inflamed	IGKC	2.717337044631945	0.0
Lymphocyte-inflamed	CD14	2.6929869824765085	0.0
Lymphocyte-inflamed	CD163	2.6626404132872543	0.0
Lymphocyte-inflamed	CHI3L1	2.6576653570980726	5.0049853923275406e-12
Lymphocyte-inflamed	CCL2	2.651010747609474	0.0
Lymphocyte-inflamed	CHI3L2	2.633318527915675	0.0
Lymphocyte-inflamed	S100A9	2.623020840762559	0.0
Lymphocyte-inflamed	S100A8	2.6199433354501216	0.0
Lymphocyte-inflamed	HLA-DQA1	2.6151710412400404	0.0
Lymphocyte-inflamed	HLA-DRA	2.607862435616112	0.0
Lymphocyte-inflamed	IFI30	2.558093337704392	0.0
Lymphocyte-inflamed	FPR1	2.5434691277427364	0.0
Lymphocyte-inflamed	C3	2.5100326332847285	0.0
Lymphocyte-inflamed	CD68	2.5087264876455073	0.0
Lymphocyte-inflamed	BCL2A1	2.4200889426745205	0.0
Lymphocyte-inflamed	HAMP	2.3874598979782617	0.0
Lymphocyte-inflamed	C1QB	2.3762382087121425	0.0
Lymphocyte-inflamed	C1QA	2.3732737739725156	0.0
Lymphocyte-inflamed	MS4A6A	2.355978365046426	0.0
Lymphocyte-inflamed	CTSS	2.3425207590497066	0.0
Lymphocyte-inflamed	LYZ	2.338196472092145	0.0
Lymphocyte-inflamed	ALOX5AP	2.3325421237528	0.0
Lymphocyte-inflamed	SERPINA1	2.326507647833876	0.0
Lymphocyte-inflamed	C1QC	2.3096085429768847	0.0
Lymphocyte-inflamed	EVI2B	2.30608964438739	0.0
Lymphocyte-inflamed	HLA-DPA1	2.3052263489930356	0.0
Lymphocyte-inflamed	HLA-DMA	2.3045516227193787	0.0
Lymphocyte-inflamed	COL1A1	2.297952341203829	1.2694071553677861e-12
Lymphocyte-inflamed	OLR1	2.2951895399976427	0.0
Lymphocyte-inflamed	S100A4	2.292867737752562	0.0
Lymphocyte-inflamed	FCER1G	2.2801038213191047	0.0
Lymphocyte-inflamed	FOLR2	2.2767676757482	0.0
Lymphocyte-inflamed	SERPINF1	2.275322191928189	0.0
Lymphocyte-inflamed	CD52	2.2713411416706704	0.0
Lymphocyte-inflamed	HLA-DPB1	2.270640739460018	0.0
Lymphocyte-inflamed	APOC2	2.2644267258471595	0.0
Lymphocyte-inflamed	CD74	2.2565911632670286	0.0
Lymphocyte-inflamed	MSR1	2.2534447050150237	0.0
Lymphocyte-inflamed	AIF1	2.2318375376737674	0.0
Lymphocyte-inflamed	F13A1	2.2275537947519215	0.0
Lymphocyte-inflamed	CP	2.223310087102046	0.0
Lymphocyte-inflamed	NNMT	2.221635374966424	4.418515732507536e-12
Lymphocyte-inflamed	CD37	2.2156816599522573	0.0
Lymphocyte-inflamed	ITGB2	2.204929496353582	0.0
Lymphocyte-inflamed	C2	2.202147181660892	0.0
Lymphocyte-inflamed	GPNMB	2.1944007835175334	0.0
Lymphocyte-inflamed	CD53	2.19137365807416	0.0
Lymphocyte-inflamed	HLA-DRB1	2.176331426740691	0.0
Lymphocyte-inflamed	TYMP	2.1758655803317977	0.0
Lymphocyte-inflamed	HLA-DMB	2.175573295308079	0.0
Lymphocyte-inflamed	LY96	2.172909012397278	0.0
Lymphocyte-inflamed	SRGN	2.164007702367514	0.0
Lymphocyte-inflamed	FYB1	2.1514364572479954	0.0
Lymphocyte-inflamed	LTF	2.1514014800650276	1.6005908018732227e-13
Lymphocyte-inflamed	GPR34	2.1415247090503327	0.0
Lymphocyte-inflamed	VAMP8	2.137504765364322	0.0
Lymphocyte-inflamed	NCKAP1L	2.1336220639228007	0.0
Lymphocyte-inflamed	LAIR1	2.1278012627531036	0.0
Lymphocyte-inflamed	HLA-DQB1	2.1212040700921597	0.0
Lymphocyte-inflamed	IL1B	2.1094776398161277	0.0
Lymphocyte-inflamed	CLEC7A	2.103883757986404	0.0
Lymphocyte-inflamed	COL6A3	2.0993370086216263	1.0718678120958886e-14
Lymphocyte-inflamed	PTPRC	2.0935015383886078	0.0
Lymphocyte-inflamed	SERPINA3	2.0929707986948793	7.024307061935057e-13
Lymphocyte-inflamed	HBA2	2.0875152979540763	1.6453444922561733e-11
Lymphocyte-inflamed	LUM	2.083657340999576	0.0
Lymphocyte-inflamed	FOSB	2.07658198251171	7.111154530601487e-09
Lymphocyte-inflamed	SNORA23	2.075248975936275	0.00041334704852082814
Lymphocyte-inflamed	RNASE6	2.070160388311192	0.0
Lymphocyte-inflamed	VSIG4	2.0697619724433394	0.0
Lymphocyte-inflamed	RNASE2	2.0622869531369687	0.0
Lymphocyte-inflamed	SNORA74A	2.057952671200172	0.00016988634747729892
Lymphocyte-inflamed	HBB	2.0542772434473475	3.759553417612377e-12
Lymphocyte-inflamed	ZFP36	2.05312004490147	5.580752432681454e-15
Lymphocyte-inflamed	CCL5	2.051478686715504	0.0
Lymphocyte-inflamed	SERPING1	2.046818274901989	0.0
Lymphocyte-inflamed	PLA2G2A	2.0458717596802334	2.3895981302468943e-11
