sample	PC1	PC2	ecotype	ecotype_k3	ecotype_k2
BS_RHAWQJ48	4.4815802645612965	-1.4294410871367325	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_RHM60031	0.1935830776261351	-3.1901910122256223		Myeloid-dominant	Immune-active
BS_RJC3WDD6	-10.892577380495288	-0.7664089072208005	Immune-desert	Immune-desert	Immune-desert
BS_RN0VAY51	0.9949366588373728	1.2092749649716834		Myeloid-dominant	Immune-active
BS_RX1YTZ7F	-0.6254662220353032	0.9784514596680928		Myeloid-dominant	Immune-desert
BS_RZBFH1QF	-8.17348212458453	-2.637069775489579	Immune-desert	Immune-desert	Immune-desert
BS_S2TA8R29	1.4280138363827064	2.01216167398099		Myeloid-dominant	Immune-active
BS_S3C2PZAH	1.38096393426181	-4.298108483002891		Myeloid-dominant	Immune-active
BS_S3MET0JZ	-0.6851406674453042	-2.221442544382466		Myeloid-dominant	Immune-desert
BS_S4V9E1XJ	3.751248934372567	2.1020413544588075	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_S5P8VTN5	1.0041291955903784	1.3485760441431447		Myeloid-dominant	Immune-active
BS_S6B9DVNS	-8.226574654984084	-2.9956971499320675	Immune-desert	Immune-desert	Immune-desert
BS_S6S7SK3P	-6.529518076857461	-1.3891797380950612	Immune-desert	Immune-desert	Immune-desert
BS_S8K878T3	7.0601799722805385	-1.1936751643502403	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_SBMAM00V	-0.7112443802963905	0.0910301657604485		Myeloid-dominant	Immune-desert
BS_SBMCD7XZ	1.912513803482106	3.2031762056780906		Myeloid-dominant	Immune-active
BS_SD0EMK7Y	2.2548132250459823	1.1060839687303274	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_SD8YBRBR	-9.374586459639843	-2.510215709698844	Immune-desert	Immune-desert	Immune-desert
BS_SERDGASJ	2.9784970381101368	0.8132506682228025	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_SJVTZ5TH	-1.996022436040493	-3.6708698757393297		Myeloid-dominant	Immune-desert
BS_SMWQR2F1	-0.0769467048218658	-0.7687167929401144		Myeloid-dominant	Immune-desert
BS_SNVM7CZT	2.200283608430606	0.7965492565021133		Myeloid-dominant	Immune-active
BS_SR2RGDXJ	1.1256813181912966	1.7016230062591593		Myeloid-dominant	Immune-active
BS_SW9Z10F9	3.197618416491178	2.013928804832809	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_SY3J3XR9	-5.094147559620995	2.0132140331304944	Immune-desert	Immune-desert	Immune-desert
BS_T1YHK6B7	-0.9126151964695158	-0.3456265506755938		Myeloid-dominant	Immune-desert
BS_T2F48Z4E	3.4443573870009625	-2.633181306287272	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_T9A8JJW5	-1.7081816228332556	0.5909770990804485		Myeloid-dominant	Immune-desert
BS_TASG32Z2	-1.690504295423524	-1.4977147518797087		Myeloid-dominant	Immune-desert
BS_TGS109T3	-3.741822790871408	1.7628064893543165	Immune-desert	Immune-desert	Immune-desert
BS_TM9MH0RP	1.066839550467655	1.7544301080928222		Myeloid-dominant	Immune-active
BS_TR2P8KRF	-0.6863612005532507	0.6805594383883335		Myeloid-dominant	Immune-desert
BS_TRKH2SPE	-2.740731746214098	1.1165864141389936		Myeloid-dominant	Immune-desert
BS_TRPXB3AV	-2.395170195646304	-1.6245513822247244		Myeloid-dominant	Immune-desert
BS_TTDNZTZ0	5.077054714422723	1.090402969279883	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_TTE04ZP8	3.766508866046988	0.3204254422873726	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_TV5B86ZD	-6.354917945170653	-2.3677476532883217	Immune-desert	Immune-desert	Immune-desert
BS_TVH33J9Q	-2.4961631724023614	-0.5842749750194718		Myeloid-dominant	Immune-desert
BS_TXZ7KHTQ	-1.7435596443506742	-0.1951731528429713		Myeloid-dominant	Immune-desert
BS_V0DQFC75	-1.216278227794677	-3.3149367306856234		Myeloid-dominant	Immune-desert
BS_V3Z3DB4N	-3.859088025544252	4.092014302460929	Immune-desert	Immune-desert	Immune-desert
BS_V558NW3Q	5.712931819916566	-4.004338087423032	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_V6RSB5HQ	-2.538027103744695	0.039808413891754		Myeloid-dominant	Immune-desert
BS_V8QWBVS3	9.17465445597622	-3.2960536660518343	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_VBMRQK4F	0.3862342746265377	-0.4364165376520198		Myeloid-dominant	Immune-active
BS_VDFXXMEX	-3.985097075068421	-2.562750975586071	Immune-desert	Immune-desert	Immune-desert
BS_VF3NVT4G	3.3699013412971928	1.4738897022998916	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_VKH87DD2	3.3151722836857096	-0.7486922289973271	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_VKHJG2B8	1.0556150697053035	-2.8967785664872068		Myeloid-dominant	Immune-active
BS_VKYEM67A	3.6853624988784377	1.056752043853832	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_VMQMGSJY	3.4898600312227552	-2.99816285621337	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_VVTHDRBD	-2.39464653982185	1.100086025206466		Myeloid-dominant	Immune-desert
BS_W1385R8Y	-3.431136658206924	-1.5620533686275535	Immune-desert	Immune-desert	Immune-desert
BS_W4DB5RP1	-7.193652795555148	-0.7583617697951839	Immune-desert	Immune-desert	Immune-desert
BS_W7MFJZ5A	4.983983236137181	2.000161961130684	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_WBVSK3MP	-9.408657319977031	-1.9214225815261916	Immune-desert	Immune-desert	Immune-desert
BS_WEKK6SHP	-0.3666623132028527	-5.70723237899384		Myeloid-dominant	Immune-desert
BS_WHBEXD5H	4.302344125641148	0.365762971557598	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
BS_WQ1YRTAT	-11.791212639481728	1.0088030639250831	Immune-desert	Immune-desert	Immune-desert
BS_WTJEDTZC	1.3955860454948663	-6.057714522445331		Myeloid-dominant	Immune-active
BS_WVRX4C9Z	5.68924572375227	1.3885458961502504	Myeloid-dominant	Lymphocyte-inflamed	Immune-active
