sample,microglia,mdm,mg_mdm_ratio,ecotype,cohort_group
BS_KABQQA0T,0.824750938175619,0.474683770976521,0.350067167199098,Immune-desert,DMG_K27
BS_KBEX4RT2,0.713354077676719,0.615611274267708,0.097742803409011,Intermediate,DMG_K27
BS_KFD5128N,0.771664354321269,0.627182458491719,0.14448189582955,Intermediate,pHGG_WT
BS_KKDTW11T,0.542071011919034,0.602788286869298,-0.060717274950264,Intermediate,DHG_G34
BS_KP735TJ6,0.622073557591973,0.630147719575588,-0.00807416198361499,Immune-desert,IHG
BS_KQ6ZW085,0.853760663330267,0.637672087441679,0.216088575888588,Intermediate,pHGG_WT
BS_KRS4EV4X,0.729470589331982,0.607519373342052,0.12195121598993,Intermediate,pHGG_WT
BS_KS8HMGA6,0.897984485345915,0.815000585399212,0.082983899946703,Inflamed,DMG_K27
BS_KVPWHDR4,0.784446847689356,0.643279103580543,0.141167744108813,Intermediate,DMG_K27
BS_M0FA190Y,0.823237650709855,0.634307937522781,0.188929713187074,Intermediate,DMG_K27
BS_M0XGZ53Z,0.71580312802446,0.521678428490463,0.194124699533997,Immune-desert,pHGG_WT
BS_M1PVEHCM,0.697703156993472,0.490493761754157,0.207209395239315,Immune-desert,DMG_K27
BS_M54TWTH4,0.843585354242451,0.647931900419814,0.195653453822637,Intermediate,pHGG_WT
BS_M7XB258E,0.876492153498977,0.854341291058854,0.022150862440123,Inflamed,DMG_K27
BS_M85CXHDV,0.848565399956729,0.809095829723959,0.03946957023277,Inflamed,DHG_G34
BS_MB7WN0ZB,0.745142421505803,0.759089149758355,-0.0139467282525519,Intermediate,DMG_K27
BS_MD0937XT,0.67609370822697,0.632711407834629,0.043382300392341,Immune-desert,pHGG_WT
BS_MDBT7S5Z,0.65477824820955,0.598994075344499,0.055784172865051,Immune-desert,DMG_K27
BS_ME6VQGG4,0.753226887050676,0.695725042334986,0.05750184471569,Intermediate,pHGG_WT
BS_MFGZH8FK,0.691253573535551,0.69387281499394,-0.0026192414583891,Intermediate,DMG_K27
BS_MG78HQDM,0.636994369782899,0.459468023129304,0.177526346653595,Immune-desert,pHGG_WT
BS_MWWZBQ60,0.81534687090227,0.721613478777592,0.093733392124678,Intermediate,DMG_K27
BS_N6TQBQ8M,0.684042102458524,0.551100198981671,0.132941903476853,Intermediate,pHGG_WT
BS_N7SW36FD,0.882329600482961,0.738006014359573,0.144323586123388,Inflamed,pHGG_WT
BS_N7VQ1GQB,0.863608430385797,0.74676398891418,0.116844441471617,Inflamed,pHGG_WT
BS_NB9XXBW6,0.862606291634997,0.653079469087489,0.209526822547508,Intermediate,DMG_K27
BS_NEFAASTR,0.740378328848473,0.737605268259957,0.00277306058851601,Inflamed,DMG_K27
BS_NEVYM2FP,0.8804714276799,0.63529746674956,0.24517396093034,Intermediate,DMG_K27
BS_NFKKDYSV,0.804341318894392,0.795688825394722,0.00865249349967001,Inflamed,pHGG_WT
BS_NGSG2KB6,0.894484870045742,0.703937157760709,0.190547712285033,Inflamed,DMG_K27
BS_NNYXMSTX,0.877439201591616,0.67041862298004,0.207020578611576,Inflamed,pHGG_WT
BS_NPA6CZQF,0.871918092461868,0.526586814840153,0.345331277621715,Immune-desert,pHGG_WT
BS_NQ54ST98,0.829024041673669,0.706665569688379,0.12235847198529,Intermediate,DMG_K27
BS_NR3P3GN2,0.759691062837882,0.785551865481857,-0.0258608026439749,Intermediate,DMG_K27
BS_NX1R0BC3,0.778626337790275,0.8105364366322,-0.031910098841925,Inflamed,pHGG_WT
BS_P0QF87WC,0.671417617295699,0.797479964228046,-0.126062346932347,Intermediate,pHGG_WT
BS_P4PMWFMV,0.776394865985263,0.649544580456233,0.12685028552903,Intermediate,DMG_K27
BS_P7W3AYKV,0.699774481988696,0.737755775472202,-0.037981293483506,Inflamed,pHGG_WT
BS_PENM28KT,0.823102284142305,0.645758182532683,0.177344101609622,Intermediate,pHGG_WT
BS_PJC6FH4Y,0.908554263402873,0.857778996171334,0.050775267231539,Inflamed,DMG_K27
BS_PS0P3QJ3,0.711467679786698,0.693143923996587,0.018323755790111,Intermediate,IHG
BS_PXCPK5XS,0.757555502839256,0.684602239718979,0.072953263120277,Intermediate,pHGG_WT
BS_PZVHMSYN,0.615105014713462,0.696865748844385,-0.081760734130923,Intermediate,DMG_K27
BS_Q06J3RYW,0.862398244916767,0.750939387768645,0.111458857148122,Inflamed,pHGG_WT
BS_Q35GFYDR,0.588323511592749,0.570385567158928,0.017937944433821,Intermediate,DMG_K27
BS_Q9N5PRD5,0.690675688966175,0.707269548642051,-0.016593859675876,Intermediate,DMG_K27
BS_QB84TBA3,0.561028615129093,0.549607975569137,0.011420639559956,Immune-desert,DMG_K27
BS_QGKEP3KB,0.836550473308997,0.771546291306287,0.06500418200271,Inflamed,DMG_K27
BS_QH0VYVJK,0.80155060346096,0.719361921155335,0.0821886823056249,Intermediate,DHG_G34
BS_QHY302E8,0.788945853713087,0.796263049146031,-0.00731719543294396,Inflamed,pHGG_WT
BS_QMBS32Y2,0.711770262842167,0.67167700716066,0.040093255681507,Intermediate,pHGG_WT
BS_QNNX91SM,0.821940398561465,0.598105710716447,0.223834687845018,Intermediate,DMG_K27
BS_QY2G1JZJ,0.874316742212459,0.63413257411673,0.240184168095729,Inflamed,DMG_K27
BS_QYA4TQXX,0.571108533517111,0.620770678900835,-0.049662145383724,Immune-desert,DHG_G34
BS_R5JQE0VJ,0.64123701254565,0.761414321235436,-0.120177308689786,Intermediate,pHGG_WT
BS_R5SNFB5B,0.581252335573062,0.606299702662682,-0.02504736708962,Immune-desert,pHGG_WT
BS_R9B92M75,0.859756504821573,0.662805239059661,0.196951265761912,Intermediate,DMG_K27
BS_RHAWQJ48,0.823038852786462,0.781077508154902,0.0419613446315601,Inflamed,DMG_K27
BS_RHM60031,0.68524583008612,0.755692177749399,-0.0704463476632791,Intermediate,pHGG_WT
BS_RJC3WDD6,0.64411150359756,0.430832078896815,0.213279424700745,Immune-desert,DHG_G34
BS_RN0VAY51,0.834365963450766,0.644534501949148,0.189831461501618,Intermediate,DMG_K27
BS_RX1YTZ7F,0.792503197606225,0.684921687974323,0.107581509631902,Intermediate,DMG_K27
BS_RZBFH1QF,0.484797374344553,0.612524375556028,-0.127727001211475,Immune-desert,DMG_K27
BS_S2TA8R29,0.851793196755892,0.717115085213286,0.134678111542606,Intermediate,IHG
BS_S3C2PZAH,0.674826126527703,0.753772831730491,-0.078946705202788,Intermediate,pHGG_WT
BS_S3MET0JZ,0.829646933021175,0.645452534449774,0.184194398571401,Intermediate,DMG_K27
BS_S4V9E1XJ,0.885612389011875,0.775345587561737,0.110266801450138,Inflamed,IHG
BS_S5P8VTN5,0.796217894282423,0.71932993369991,0.0768879605825129,Intermediate,DMG_K27
BS_S6B9DVNS,0.541918379602339,0.595327505054877,-0.053409125452538,Immune-desert,DHG_G34
BS_S6S7SK3P,0.680510805072844,0.558285878606285,0.122224926466559,Immune-desert,pHGG_WT
BS_S8K878T3,0.813032994263138,0.817838119979021,-0.00480512571588299,Inflamed,pHGG_WT
BS_SBMAM00V,0.772050630608169,0.631907690956612,0.140142939651557,Intermediate,pHGG_WT
BS_SBMCD7XZ,0.876410690647466,0.629574205637374,0.246836485010092,Intermediate,IHG
BS_SD0EMK7Y,0.840425986320591,0.707043456905133,0.133382529415458,Inflamed,DMG_K27
BS_SD8YBRBR,0.575616088789113,0.543903729746747,0.0317123590423659,Immune-desert,pHGG_WT
