gene	log2FC	z	p	q_BH	mean_eco_log2tpm	mean_rest_log2tpm	n_eco	n_rest
PCDHGB8P	-0.7319854718976212	-4.738866920887054	2.1491658532823976e-06	0.0003815315820404735	0.8371507116824747	1.5691361835800959	160	189
ENSG00000272755	0.6768054343816332	4.738334523749555	2.1548188482434227e-06	0.0003815315820404735	1.703948819005409	1.0271433846237759	160	189
SFXN2	-0.49845877782748826	-4.738866920887054	2.1491658532823976e-06	0.0003815315820404735	1.7426294018836088	2.241088179711097	160	189
HAS2-AS1	0.48733571781375395	4.736204935199555	2.17757395959417e-06	0.0003827045908543058	1.4245274333369466	0.9371917155231927	160	189
CD244	-0.22898148016501202	-4.734607743787055	2.1947915509468174e-06	0.0003828942966012073	0.16890148726438053	0.39788296742939255	160	189
LRRC39	-0.47316172625771347	-4.728218978137056	2.264978365085213e-06	0.0003922545743796479	0.9577044504272658	1.4308661766849793	160	189
ENSG00000288766	0.37649373981730416	4.722362609624556	2.331205670280667e-06	0.0003922708208019795	0.9856735764963409	0.6091798366790367	160	189
EPG5	-0.5175400867931716	-4.722895006762056	2.325109001999337e-06	0.0003922708208019795	2.685636185739999	3.2031762725331707	160	189
KRT8P46	-0.2856634378032611	-4.723959801037056	2.3129615600581133e-06	0.0003922708208019795	0.48309163503569097	0.7687550728389521	160	189
ENSG00000230928	-0.14104353214636633	-4.722362609624556	2.331205670280667e-06	0.0003922708208019795	0.1491039911184306	0.2901475232647969	160	189
YES1P1	-0.3264964226353534	-4.7143766525620565	2.424518195986991e-06	0.0003994730466526899	0.3930230895038289	0.7195195121391823	160	189
DDI2	-0.5647376764706027	-4.715973843974557	2.405573398256422e-06	0.0003994730466526899	2.4274188036540676	2.9921564801246703	160	189
TLR1	-0.654302070364976	-4.7154414468370565	2.411872484620048e-06	0.0003994730466526899	2.221203954288833	2.875506024653809	160	189
ILRUN-AS1	0.7973085816053711	4.710649872599557	2.4692813540561076e-06	0.000404042547629898	2.87963333822293	2.082324756617559	160	189
ATF4	0.8335620169821238	4.707987886912058	2.501739636340261e-06	0.00040654982610828104	6.926393665621957	6.092831648639833	160	189
RPLP0	0.7522269326543132	4.705858298362058	2.5280007556194306e-06	0.0004080227614137865	9.615161686583175	8.862934753928862	160	189
GCSH	1.0688814696678803	4.7031963126745575	2.561199405448633e-06	0.00041058795333563696	4.820776186108436	3.7518947164405554	160	189
DKK2	-0.3304682799392063	-4.698404738437058	2.622014352970936e-06	0.0004130202359295481	0.33776953033215956	0.6682378102713659	160	189
IHO1	-0.2908157320741743	-4.6930807670620585	2.6912117736532792e-06	0.0004130202359295481	0.33606365217819223	0.6268793842523666	160	189
RPSA	0.903439026006617	4.697339944162058	2.635715773857683e-06	0.0004130202359295481	8.828834825227544	7.925395799220927	160	189
ENSG00000250934	0.378622953233676	4.696807547024559	2.6425922270423285e-06	0.0004130202359295481	1.0105990607416608	0.6319761075079848	160	189
PCDHA13	-0.39018985287622354	-4.693613164199559	2.684213937342861e-06	0.0004130202359295481	0.6955384735306878	1.0857283264069113	160	189
FBN1	-0.6736188888019745	-4.692548369924559	2.6982271166264837e-06	0.0004130202359295481	2.721013470055678	3.3946323588576526	160	189
ARHGAP26	-0.6215037791733771	-4.695742752749559	2.656396824285423e-06	0.0004130202359295481	2.9815300122507162	3.6030337914240933	160	189
FOSL1P1	-0.2145458345505671	-4.690418781374559	2.7264643911451003e-06	0.0004146672701558247	0.21482605365464233	0.42937188820520944	160	189
PIK3R5	-0.6298455388500686	-4.68669200141206	2.776563343687144e-06	0.0004195970821166954	1.7099586445400496	2.339804183390118	160	189
ENSG00000232533	0.8026515389341133	4.68456241286206	2.8055866969634025e-06	0.0004212996833680613	3.165164843238389	2.362513304304276	160	189
ENSG00000232828	-0.2608133205458416	-4.6819004271745595	2.8422754210222223e-06	0.0004241246958438569	0.3202903723797974	0.581103692925639	160	189
EBLN2	-0.5353157354270629	-4.67710885293706	2.9094783187133544e-06	0.000424928976043926	0.7820311978291375	1.3173469332562004	160	189
H2AC6	-0.8133353720664287	-4.676576455799561	2.9170387276789e-06	0.000424928976043926	5.963641109822119	6.776976481888548	160	189
BTF3	0.8102168021995366	4.675511661524561	2.932216132345289e-06	0.000424928976043926	7.7260772137423075	6.915860411542771	160	189
MZB1	-0.3500445863170071	-4.67497926438706	2.9398332177521524e-06	0.000424928976043926	0.3616384567245434	0.7116830430415505	160	189
TUBB2B	0.7148057677322939	4.67977083862456	2.8719574221014454e-06	0.000424928976043926	8.391475044421048	7.676669276688754	160	189
