Kids_First_Biospecimen_ID	Antigen_presentation_HLA_I	Antigen_presentation_HLA_II	CCR2_chemokine_axis	CSF1R_TAM_axis	Exhaustion_core	Hypoxia_HIF_targets	MDSC_granulocytic	MDSC_monocytic	Senescence_T_cell	Suppressive_cytokine_axis	TCM_Naive_loss	Treg_signature	HLA_I_minus_II
BS_30YWQ3FY	0.5823464647239706	0.6258445539209696	0.23520703435249923	0.10648720124861429	0.2658157960238491	0.6928313816742393	0.5152773067111981	0.5052163426582534	0.5076185439145124	0.3938142349410626	0.4280070355707449	0.3031764114032875	-0.043498089196999046
BS_31MBRWC4	0.6481879397625935	0.6504165319431058	0.31755947042197497	0.3273378784600061	0.3776617915745674	0.656863154491054	0.4056272640761018	0.48385014399671344	0.50807879065059	0.47721970605212316	0.4139027414116815	0.44811799051563905	-0.002228592180512301
BS_333KCNDP	0.6817471910184412	0.7144624109192204	0.4966623170819259	0.4822319314150206	0.40230162868248714	0.7036186482520019	0.48765170884522174	0.5932825885116664	0.5062805675616604	0.5224305635454545	0.48789947646104015	0.4589721672904972	-0.03271521990077919
BS_399RPKC9	0.6572837528440763	0.6025764951140998	0.29638992365043754	0.33580700237882805	0.2222924424325598	0.6851530439248104	0.2924382253262111	0.48820231731886976	0.3920436983740358	0.3725265240361442	0.26976420757347463	0.23927852419907417	0.05470725772997642
BS_3AC3SRWH	0.532231657080607	0.564279244569144	-0.023063186380108198	0.19161106231439193	0.25158246360323705	0.608114449410814	0.17677255821939641	0.3610944169280754	0.2367250676150167	0.3312839216022335	0.012475336423925742	0.2622604746249667	-0.03204758748853698
BS_3MS8WVNR	0.6345163342439295	0.5648982844328564	0.21391872426656577	0.3061955794120076	0.18874413824094208	0.591095249878964	-0.04578445139779092	0.27936236124265057	0.42874237894933687	0.397112364958495	0.20415490168331457	0.2750761805920147	0.06961804981107311
BS_3ZPJAK9A	0.6458675806771081	0.5600839404049823	0.010703419882022072	0.25282193127112673	0.028052772919579572	0.5898340759189672	0.3357074419618213	0.34321202971793924	0.30644198904522274	0.28924008943660007	0.3605234634117303	0.056383131403164644	0.08578364027212582
BS_45J79YTF	0.5645093723854046	0.5481096090848551	-0.012022298770166827	0.1962621604569471	0.15068425127360194	0.5748676963412621	0.014686435922730895	0.3173796078419203	0.3998578961370458	0.3714221375843056	0.19409081737315775	0.2411548567131532	0.016399763300549486
BS_49BQS7Z6	0.6511058651786229	0.6849802246327739	0.13425116724067934	0.2837145896643344	0.2975071918686106	0.6122509068780799	0.2603671532419136	0.4257171981533336	0.4387287297138599	0.38205309876227433	0.24976747598014787	0.3061183639837115	-0.03387435945415096
BS_49CJNZ06	0.6110204689041365	0.5521371720466349	0.1967396854412034	0.2935180292021324	0.25456312501079714	0.7373743106433917	0.26530029999247456	0.4877967653470675	0.41299616643915843	0.41959878367808506	0.2301108124154222	0.2647898225039854	0.0588832968575016
BS_4B0BAVTX	0.6623802659235769	0.6938541471675096	0.2686169119701614	0.2954383025187567	0.2552132073130239	0.6227559685526303	0.3768235121597678	0.5098363226138388	0.4441565856537063	0.44381957145373674	0.3453809698559911	0.3201017831059366	-0.03147388124393269
