gene	log2FC	z	p	q_BH	mean_eco_log2tpm	mean_rest_log2tpm	n_eco	n_rest
IL6R	1.7076920906629522	10.126504012465846	0.0	0.0	3.667414590935219	1.9597225002722667	111	238
ALOX5AP	2.3325421237528	11.36255495785064	0.0	0.0	6.396272594698843	4.063730470946043	111	238
CYBA	1.6559870086551634	10.843071795550673	0.0	0.0	6.539869048125923	4.88388203947076	111	238
TNFAIP3	1.4755077136423624	8.537295654113967	0.0	0.0	3.703102558346877	2.2275948447045146	111	238
TNFRSF11A	0.8387814192390466	9.22253495701623	0.0	0.0	1.5046741714909309	0.6658927522518843	111	238
TYROBP	1.6982981937332289	9.722081813745476	0.0	0.0	7.07519114163604	5.376892947902811	111	238
IL6	1.7450778441659454	9.742018119316198	0.0	0.0	2.655872171337934	0.9107943271719888	111	238
CXCL9	0.7296907441827053	8.731532231245863	0.0	0.0	1.0034802720686653	0.27378952788596	111	238
SLA	1.737665523481958	11.537994446872998	0.0	0.0	4.427021269668108	2.68935574618615	111	238
TANGO2	1.1040032447828274	8.932034504414272	0.0	0.0	4.273450207931187	3.16944696314836	111	238
ENSG00000276449	-0.35853969395524304	-8.495714216780746	0.0	0.0	0.19117306407190576	0.5497127580271488	111	238
VENTX	0.44906488501608877	8.294072726151152	0.0	0.0	0.672376576117829	0.22331169110174023	111	238
CARD16	1.4793176131938006	8.966211028249797	0.0	0.0	4.0177953432860765	2.538477730092276	111	238
C5AR1	1.9146298385672302	10.940474888481916	0.0	0.0	3.7061513593671194	1.7915215207998891	111	238
CLEC7A	2.103883757986404	12.518291072221954	0.0	0.0	3.870305301152733	1.7664215431663288	111	238
ENTPD1	1.560015551546809	9.905495824996123	0.0	0.0	4.580260739108288	3.0202451875614793	111	238
CLDN23	0.5204778850545084	8.941717852834337	0.0	0.0	0.7762157393773627	0.2557378543228542	111	238
GPNMB	2.1944007835175334	9.523288366768842	0.0	0.0	6.004689808534743	3.8102890250172097	111	238
PTGER2	0.4664658794335502	10.317892545944781	0.0	0.0	0.6264993004135354	0.16003342097998519	111	238
TYMP	2.1758655803317977	12.647592254066355	0.0	0.0	5.293164670024208	3.11729908969241	111	238
GBP4	1.319412789770498	10.679024481140155	0.0	0.0	2.8180753811143173	1.4986625913438194	111	238
IL18RAP	0.573423027843524	8.550396654917584	0.0	0.0	0.820539021411514	0.24711599356799013	111	238
SLFN12	1.2309883881717345	9.313102745180368	0.0	0.0	2.521695763642369	1.2907073754706346	111	238
