sample,MCP_CD8,QTS_CD8,EPIC_CD8,Cytolytic_ssGSEA
BS_A13BMEF5,0.0426443374084937,0,0.019203133154411,0.190717566346659
BS_A1VEGWTR,0.0426443374084937,0,0.0139411485368698,0.206244811998848
BS_A46RDWGM,0.0565835283663675,0,0.0196423234256525,0.108259835692509
BS_A4PF49V0,2.72246602447109,0.0120238294037342,0.018889824551588,0.238787377142933
BS_A6NXR7RC,0.189033824390017,0,0.0250838587765298,0.174930574520557
BS_A76PNWQS,0,0,0.000178416306262639,0.278781564104117
BS_A7Q8G0Y1,0.0285691521967709,0,0.0168425116379584,0.21647426049162
BS_A8XW5S0W,0.238786859587117,0,0.0224759932054456,0.404961054355297
BS_A96FKXN5,0,0,0.0279457088932678,0.327955500490564
BS_AGVWD5K8,0.575312330687437,0,0.0162675279796353,0.356840772015647
BS_AM0BZ61K,0.070389327891398,0,0.0237409183964133,0.32616129670669
BS_AP0SZ364,0.286881147788162,0,0.0169077685115068,0.413414160975756
BS_ATHSTZ5R,0.150559676575381,0,0.0211728371014608,0.405846409186162
BS_AW7J9F9R,0.0426443374084937,0,0.0276036832834776,0.367899790813988
BS_AWH9757B,0.0143552929770701,0,0.014348786240681,0.196637536628884
BS_AYSXRQWY,0.641546029087524,0,0.00917054383417041,0.418617591994719
BS_AZQM1JJH,0.344828496997441,0,0.0325256200439047,0.410968060402387
BS_B0SVFK4P,0.918386234446348,0.000498363906471395,0.0257827603647352,0.402233620477848
BS_B1C6GZ84,0.150559676575381,0,0.00957001208737861,0.11813997031896
BS_B3M5SGPA,0.214124805352847,0,0.0080722428807504,0.281557006148577
BS_B3MQFFYP,1.53106949272595,0,0.0261917949667364,0.492751748662665
BS_B4R7X1KE,0.0285691521967709,0,0.0143340785111405,0.0743052508018834
BS_B57327NA,0.310340120612151,0,0.0205443643352802,0.175868967396622
BS_B5JM6T8K,0.526068811667588,0,0.0219118756114585,0.363977568534379
BS_B6JKQFKA,0.584962500721156,0,0.0227723067179378,0.39051202756791
BS_B7GEH89C,0.286881147788162,0,0.0197588551730363,0.223109973635958
BS_B7X8VXQ3,0.176322772640463,0,0.0217846937615899,0.244645692911129
BS_BANCTAV6,0.070389327891398,0,0.0127265707273759,0.196335161570165
BS_BBAEMXRD,0.070389327891398,0,0.0163530606910449,0.142155741623765
BS_BBQ6BHGN,1.60880924267552,0,0.0140314097515847,0.28439679323017
BS_BC936YNZ,0.321928094887362,0,0.0178030907694703,0.376012502114201
BS_BGRPWBNG,0.887525270741588,0,0.0242853589583575,0.430814439658937
BS_BJBM0BN7,1.04264433740849,0,0.0417142883836543,0.36443790767867
BS_BK0HGRXM,0.286881147788162,0,0.0214876514758405,0.45312676339159
BS_BKQZ550R,0.176322772640463,0,0.0212664226149411,0.301806857463757
BS_BMMY0H73,0.176322772640463,0,0.0143442837178268,0.269346650775297
BS_BN986DF6,0.150559676575381,0,0.0135397465958475,0.199578215229849
BS_BNECCX4D,0.604071323668861,0,0.0386718702093503,0.462400808879746
BS_BPSTSCBJ,1.09761079662642,0.00333452171401112,0.0262912239114228,0.452485931289047
BS_BW79W2PD,0,0,0.015102220075878,0.361341670455661
BS_BZCTXEPJ,1.10433665981474,0,0.0299984493679982,0.488756909492806
BS_C0NEVC2B,1.43829285157915,0,0.0275256253943174,0.465757799454024
