sample,MCP_macro_mono,QTS_macro,EPIC_macro,xCell_macro_mono,Microglia_Klemm,MicrogliaCore_Bohlen,MDM_Klemm,MgTAM_Antunes,MoTAM_Antunes
BS_RGSMX7QD,5.04424666347514,0.0152047152704577,0.0091217095361586,0.11408810692223,0.851944211161994,0.843805995887939,0.639024977526829,0.850849466731072,0.638728313648426
BS_RHAWQJ48,8.96379454759574,0.053989525998761,0.0501309988306731,0.17616035407499,0.823038852786462,0.815010779702421,0.781077508154902,0.809899404761826,0.813433775927984
BS_RHM60031,4.19015889303002,0.023806477097729,0.0130999688956667,0.180808558178211,0.68524583008612,0.64457239743851,0.755692177749399,0.656819297672656,0.784435232719701
BS_RJC3WDD6,3.38724220952426,0,0.00288108846872093,9.04487546552506e-18,0.64411150359756,0.636105417906192,0.430832078896815,0.636303026533651,0.497358085156476
BS_RJMJ935A,7.53717395047456,0.0869114245247763,0.0557550055600675,0.47409299051775,0.890816768409372,0.882144165733388,0.793295541569071,0.893459710193571,0.82662678011955
BS_RMT7ABN6,8.015598663576,0.15538908935826,0.0425177280684242,0.466814657797751,0.886077654809187,0.87395116292942,0.819193988519639,0.892163140957216,0.837500465216266
BS_RN0VAY51,7.19542920815106,0.0263413646491247,0.0189216934605568,0.0303185388931152,0.834365963450766,0.821384353981642,0.644534501949148,0.84004949932063,0.693283095684611
BS_RNANA568,7.5835949484946,0.0570695992397336,0.0167750192165135,0.200063652316678,0.817293755550474,0.798797868560229,0.777904078249417,0.81901411198804,0.795688438967904
BS_RPJ1EPHA,7.74380082230146,0.0983324869378684,0.0328337337868221,0.292274419909375,0.884882704812667,0.867186424259628,0.765555674732719,0.889913701905005,0.750812632249119
BS_RRAEQZ97,5.90270058439058,0.0195029863036461,0.0158186639463271,0.176480877948022,0.900804191063699,0.89008066138094,0.726713382634402,0.900489990062027,0.752470563051603
BS_RVSEDNJ4,5.11743419653224,0.00591006572473112,0.00846810527574161,0.0309923852547549,0.831843572454294,0.82283254717463,0.534053178037904,0.839294706978481,0.661094088025523
BS_RWJZFTP9,4.72668272536862,0.0169745226274497,0.014857795590466,0.176395038783033,0.870970259009322,0.850496974181139,0.623553196544821,0.86442519433316,0.642173625010359
