feature	family	group_A	group_B	z	p	q_BH_per_feature	mean_A_z_or_frac	mean_B_z_or_frac
quanTIseq_B cell	quanTIseq	Immune-desert	Lymphocyte-inflamed	-1.8021598488593549	0.0715202597502207	0.0715202597502207	0.014394658175857122	0.025190387043471582
quanTIseq_B cell	quanTIseq	Immune-desert	Myeloid-dominant	2.3391956250009636	0.01932531141344218	0.02898796712016327	0.014394658175857122	0.012073931708436268
quanTIseq_B cell	quanTIseq	Lymphocyte-inflamed	Myeloid-dominant	4.7705984903655745	1.8367934648821915e-06	5.510380394646575e-06	0.025190387043471582	0.012073931708436268
quanTIseq_Macrophage M1	quanTIseq	Immune-desert	Lymphocyte-inflamed	-10.875945478101219	0.0	0.0	0.00030668974135883203	0.02551898331186397
quanTIseq_Macrophage M1	quanTIseq	Immune-desert	Myeloid-dominant	-4.345817027642286	1.3875820178865794e-05	1.3875820178865794e-05	0.00030668974135883203	0.0031910983178405823
quanTIseq_Macrophage M1	quanTIseq	Lymphocyte-inflamed	Myeloid-dominant	8.150105091128085	4.440892098500626e-16	6.661338147750939e-16	0.02551898331186397	0.0031910983178405823
quanTIseq_Macrophage M2	quanTIseq	Immune-desert	Lymphocyte-inflamed	-13.797627406470985	0.0	0.0	0.0017412188030068371	0.04632137025090135
quanTIseq_Macrophage M2	quanTIseq	Immune-desert	Myeloid-dominant	-7.030755125170976	2.0541346401614646e-12	2.0541346401614646e-12	0.0017412188030068371	0.01251627995387064
quanTIseq_Macrophage M2	quanTIseq	Lymphocyte-inflamed	Myeloid-dominant	8.643063679565534	0.0	0.0	0.04632137025090135	0.01251627995387064
quanTIseq_Monocyte	quanTIseq	Immune-desert	Lymphocyte-inflamed	2.991376361508703	0.0027772297481547525	0.008331689244464258	0.04399929932667977	0.037663783649472114
quanTIseq_Monocyte	quanTIseq	Immune-desert	Myeloid-dominant	2.2570961213315015	0.024002069200689036	0.036003103801033554	0.04399929932667977	0.03473073507594342
quanTIseq_Monocyte	quanTIseq	Lymphocyte-inflamed	Myeloid-dominant	-1.054619596394609	0.29159933767458335	0.29159933767458335	0.037663783649472114	0.03473073507594342
quanTIseq_Myeloid dendritic cell	quanTIseq	Immune-desert	Lymphocyte-inflamed	-7.278667613161103	3.3706371027619753e-13	1.0111911308285926e-12	0.018860791131723176	0.055451845538927874
quanTIseq_Myeloid dendritic cell	quanTIseq	Immune-desert	Myeloid-dominant	-6.189492916536027	6.035807409432437e-10	9.053711114148655e-10	0.018860791131723176	0.047168967953795785
quanTIseq_Myeloid dendritic cell	quanTIseq	Lymphocyte-inflamed	Myeloid-dominant	1.7863689100704903	0.0740395460704717	0.0740395460704717	0.055451845538927874	0.047168967953795785
quanTIseq_NK cell	quanTIseq	Immune-desert	Lymphocyte-inflamed	-2.6904438727005178	0.007135703731689258	0.021407111195067774	0.025814859160131976	0.04299416339655951
quanTIseq_NK cell	quanTIseq	Immune-desert	Myeloid-dominant	-1.5596652492651866	0.11883900832953698	0.1403829808201411	0.025814859160131976	0.03309219391395744
quanTIseq_NK cell	quanTIseq	Lymphocyte-inflamed	Myeloid-dominant	1.4743663450122326	0.1403829808201411	0.1403829808201411	0.04299416339655951	0.03309219391395744
quanTIseq_Neutrophil	quanTIseq	Immune-desert	Lymphocyte-inflamed	-4.448840158820972	8.633523430390255e-06	1.2950285145585383e-05	0.0002339195510379577	0.005774963059540112
