gene	log2FC	z	p	q_BH	mean_eco_log2tpm	mean_rest_log2tpm	n_eco	n_rest
PFN1	-1.1320382844347785	-8.460361232070518	0.0	0.0	7.096443192268718	8.228481476703497	78	271
IL4R	-1.311666036159178	-9.029649425768474	0.0	0.0	1.98215961053365	3.293825646692828	78	271
HLA-B	-1.7053302994906119	-9.590659379513328	0.0	0.0	6.700613629176219	8.405943928666831	78	271
LILRB4	-1.6822743293831137	-8.745642116608197	0.0	0.0	2.2941363271875	3.976410656570614	78	271
FGL2	-1.3318794078258074	-8.520856062497035	0.0	0.0	1.5134981137903523	2.8453775216161596	78	271
GIMAP4	-1.7530354982426926	-9.63459773003364	0.0	0.0	2.071795898836281	3.8248313970789733	78	271
DEF6	-1.210630917312368	-8.86790535283863	0.0	0.0	1.1912884590928998	2.4019193764052678	78	271
TLR8	-0.7536946978557183	-8.767929685712703	0.0	0.0	0.2373581495437602	0.9910528473994785	78	271
C19orf38	-0.9321253632075908	-8.992715739823865	0.0	0.0	0.8165718836544347	1.7486972468620254	78	271
TNFRSF10A	-0.6205571100369116	-8.350833749614088	0.0	0.0	0.48865979728589054	1.1092169073228022	78	271
S100A6	-2.231241250888343	-9.062125597892184	0.0	0.0	7.022500937626439	9.253742188514781	78	271
C1QB	-2.3396867174745246	-10.411478710247852	0.0	0.0	4.938623823154248	7.278310540628772	78	271
FXYD5	-1.722065382020824	-9.351227208562063	0.0	0.0	2.95732702704225	4.679392409063074	78	271
NCF2	-1.5124310375984846	-10.088627352076864	0.0	0.0	1.3523074122679675	2.864738449866452	78	271
TRPV2	-1.00135248633676	-9.095238557704592	0.0	0.0	1.216563483484304	2.217915969821064	78	271
FPR3	-1.3632773172999033	-8.640572147972668	0.0	0.0	0.6277260281617831	1.9910033454616864	78	271
RNASE2	-1.8819630707113448	-10.784636295826155	0.0	0.0	0.6659116889465502	2.547874759657895	78	271
SCIN	-1.7692414565799293	-8.68642086155908	0.0	0.0	1.6739768324707762	3.4432182890507055	78	271
MS4A4A	-1.7387016494250018	-10.665556998039223	0.0	0.0	1.1776755270602977	2.9163771764852995	78	271
SERPINB6	-1.349794323454315	-8.909296552604141	0.0	0.0	5.030106590191649	6.379900913645964	78	271
SYK	-1.2471062266901163	-8.32154151593388	0.0	0.0	1.48352240511038	2.730628631800496	78	271
RILPL2	-0.9943669517424338	-8.483922376552425	0.0	0.0	1.7654094607401516	2.7597764124825854	78	271
PYCARD	-1.5900679292402393	-9.201582101717522	0.0	0.0	1.8827727767044133	3.4728407059446527	78	271
HLA-DMB	-2.2243877853592564	-10.519732617326882	0.0	0.0	2.488030040850203	4.712417826209459	78	271
ITGA5	-1.5788771020804053	-8.339371571217486	0.0	0.0	2.478100279899159	4.056977381979564	78	271
TRAC	-1.0853928964726371	-8.606185612782859	0.0	0.0	0.6541700571021298	1.739562953574767	78	271
GZMK	-0.4704950566432682	-8.920758731000744	0.0	0.0	0.12886621595629036	0.5993612725995585	78	271
